Filename,speaker,gender,passage,trial,word,frequency,phoneme,duration,f0_midpoint,F1_midpoint,F2_midpoint,,,,health,high
STE-364_2_2,1,F,2,2,several,high,E,0.090215351,100.6503895,520.6364781,1449.483186,,,,neighborhood,high
STE-364_2_2,1,F,2,2,lasses,low,{,0.123889484,193.1601238,454.2565333,2117.841874,,,,rattling,low
STE-364_2_2,1,F,2,2,prefab,low,{,0.112377629,--undefined--,609.516564,1888.787563,,,,several,high
STE-364_2_2,1,F,2,2,stategy,high,{,0.100622137,208.6252627,493.1202961,1838.433586,,,,lasses,low
STE-364_2_2,1,F,2,2,chamfer,low,{,0.078033494,200.6679388,562.7971741,1809.788854,,,,prefab,low
STE-364_2_2,1,F,2,2,enmeshing,low,E,0.098529142,193.4498189,471.9843022,2575.579026,,,,stategy,high
STE-364_2_2,1,F,2,2,after,high,{,0.067122031,214.2208807,597.9115776,1757.900984,,,,chamfer,low
STE-364_2_2,1,F,2,2,checked,high,E,0.070875203,192.4484237,557.7160726,1818.912286,,,,enmeshing,low
STE-364_2_2,1,F,2,2,somitazation,low,eI,0.171764181,202.3728445,401.2986661,2289.76432,,,,after,high
STE-364_2_2,1,F,2,2,natural,high,{,0.112464642,201.2739947,569.1908661,2351.691926,,,,checked,high
STE-364_2_2,1,F,2,2,antedating,low,eI,0.151316064,193.0117002,454.3852323,2345.072784,,,,somitazation,low
STE-364_2_2,1,F,2,2,prevented,high,E,0.119621483,207.5062552,586.5290873,2070.923585,,,,natural,high
STE-364_2_2,1,F,2,2,scathingly,low,eI,0.22922774,196.4751666,567.4139337,2143.270111,,,,antedating,low
STE-364_2_2,1,F,2,2,states,high,eI,0.14938437,192.1429644,471.990873,2307.657766,,,,prevented,high
STE-364_2_2,1,F,2,2,traipsed,low,eI,0.097872518,203.5857245,604.1670061,1675.673588,,,,scathingly,low
STE-365_1_1,2,F,1,1,health,high,E,0.050005259,243.8334568,899.2298398,1932.812964,,,,states,high
STE-365_1_1,2,F,1,1,peppy,low,E,0.096986833,245.3023426,926.7765653,1917.617104,,,,traipsed,low
STE-365_1_1,2,F,1,1,sectary,low,E,0.078545674,245.830865,724.9337862,1969.60669,,,,,
STE-365_1_1,2,F,1,1,cases,high,eI,0.141382214,--undefined--,320.6270754,2140.721421,,,,,
STE-365_1_1,2,F,1,1,demarcations,low,eI,0.140699208,224.4483158,408.9182082,2216.928166,,,,,
STE-365_1_1,2,F,1,1,unless,high,E,0.11018232,291.6656787,826.5175155,2009.547816,,,,,
STE-365_1_1,2,F,1,1,relegated,low,E,0.08069691,207.4402429,602.0725908,1840.423171,,,,,
STE-365_1_1,2,F,1,1,interface,high,eI,0.196188576,195.3755055,399.020881,2493.163545,,,,,
STE-365_1_1,2,F,1,1,claimed,high,eI,0.088456229,247.6644097,680.9635037,1955.186921,,,,,
STE-365_1_1,2,F,1,1,terracottas,low,E,0.091559956,252.7765311,546.0223814,1889.569947,,,,,
STE-365_1_1,2,F,1,1,traded,high,eI,0.138622312,216.1755717,580.5800855,2289.431499,,,,,
STE-365_1_1,2,F,1,1,alginate,low,{,0.086560539,244.4118093,756.6616749,2027.088643,,,,,
STE-365_1_1,2,F,1,1,crackpot,low,{,0.06711578,258.1155097,583.1004418,1918.42059,,,,,
STE-365_1_1,2,F,1,1,as,high,{,0.119177554,191.406242,530.6871248,1737.584511,,,,,
STE-365_1_1,2,F,1,1,example,high,{,0.123591537,187.0330001,739.9552106,2159.491304,,,,,
STE-365_1_1,2,F,1,1,embittering,low,E,0.036426979,225.9149792,477.9480652,2250.340215,,,,,
STE-365_1_1,2,F,1,1,effect,high,E,0.130096355,206.2080511,628.616111,2004.562164,,,,,
STE-365_1_1,2,F,1,1,tax,high,{,0.10277612,223.6959522,699.1672711,1953.530482,,,,,
STE-365_1_2,2,F,1,2,health,high,E,0.043598657,231.214977,889.9538255,1913.73015,,,,,
STE-365_1_2,2,F,1,2,peppy,low,E,0.079371913,262.3019906,1071.458556,1874.990033,,,,,
STE-365_1_2,2,F,1,2,sectary,low,E,0.082725656,244.4879031,781.6659355,1742.63338,,,,,
STE-365_1_2,2,F,1,2,cases,high,eI,0.153713212,--undefined--,378.5334345,2762.095682,,,,,
STE-365_1_2,2,F,1,2,demarcations,low,eI,0.135267627,219.1318689,425.4251808,2642.348856,,,,,
STE-365_1_2,2,F,1,2,unless,high,E,0.133031798,273.8788419,834.158509,1440.194711,,,,,
STE-365_1_2,2,F,1,2,collimated,low,eI,0.129678055,217.0834278,537.1855337,1140.190885,,,,,
STE-365_1_2,2,F,1,2,relegated,low,E,0.090551056,224.968123,685.1627066,1931.837426,,,,,
STE-365_1_2,2,F,1,2,interface,high,eI,0.168805055,188.1639439,384.7773102,2730.596382,,,,,
STE-365_1_2,2,F,1,2,claimed,high,eI,0.112909341,238.745154,606.4689364,1337.109778,,,,,
